,Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
226,226,815,55,Pretty,"This top is really pretty and nice quality. runs big - i went down a size, and its perfect. coloring is more subtle in person than in the photo.",5,1,1,General Petite,Tops,Blouses
12149,12149,287,53,Nothing special,"It's so hard to tell exactly what this sweatshirt looks like from the online photos. it has a white and pale sky blue tie dye look all over with a sea foam green floral print. runs tts. the floral print isn't centered on the one i received, but for $11 i'll be keeping it.",4,1,0,Initmates,Intimate,Lounge
10414,10414,1094,48,Pretty and simple,While being stylish. the dress is well made and comfortable.,5,1,0,General,Dresses,Dresses
1012,1012,1094,37,Bautiful lines,"This dress hung so nicely on my figure (small up top, bigger in the hips) that i couldn't pass it up. the lines are more flattering in person than in the photos. it might run a little small...i'm normally an extra small, but it was a little snug in the arms. however, the small was too big, so i would suggest sticking with your usual size. the saleslady said would stretch a little. i would have loved to try a petite, but the store didn't carry petite sizes. it will be my go-to holiday dress.",5,1,2,General,Dresses,Dresses
9165,9165,1126,67,Awesome retailer coat!,Wore with leggings & ballet flats ??compliments!,5,1,0,General Petite,Jackets,Outerwear
12843,12843,975,24,Lovely!,This coat is so beautiful! like others i wouldn't have even considered it online but i tried it on in the store and absolutely fell in love with. it is the softest material ever and is so flattering on.,5,1,1,General,Jackets,Jackets
7182,7182,1098,38,Lovely summer dress,"I love this beautiful summer dress! i am tall (5' 10""), and this dress is a great length on me. sometimes with high/low dresses, the ""high"" is too short, but this dress is perfect. it does run large. i originally ordered a medium, but had to return it for a small. it is very voluminous. my only complaint would be the arm holes are huge. i am going to have to wear a camisole or bandeau top under it, or you can see my bra.",4,1,2,General Petite,Dresses,Dresses
7290,7290,1177,32,Nice material - only for smaller busts,"Overall: soft material, cute pattern - but definitely a return as just didn't fit right. 

fit: i am a six in most tops and based on the size chart - i ordered the size small. it fit comfortably around my bust - but the cup placement was basically at the center of my chest - so that my breasts were squished uncomfortably and unflattering in the middle. i've lost a bit of weight recently - so i'm more of a 36a, than 36b these days - but this wouldn't work for me or i imagine anyone with a broad",3,1,2,Initmates,Intimate,Swim
7996,7996,1092,34,Beautiful flattering dress,"This dress is beautiful. even my husband complimented it several times. true to size. due to the button closure in the back, you might have to size up if you are larger in the chest.",5,1,1,General Petite,Dresses,Dresses
12996,12996,829,28,Cute top!,"I love the print on this. love. and the fit, for a swing blouse, was super flattering! typically i haven't found that to be true, but this one is so nice! i loved it so much, but i just couldn't find a ton of outfits to wear with such a unique piece. i have been trying to slim my closet so i did return this, but perhaps would purchase it on sale (to justify wearing it less). i typically wear a 4 in tops and dresses and took an xs.",5,1,1,General,Tops,Blouses
