,Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
4421,4421,933,38,Wanted to love this...,"I should have listened to the previous review on-line before ordering. unfortunately this will go back as the design fit and proportions are simply off. i love uniquely shaped wraps like this, but this one didn't make the cut for me.",1,0,0,General Petite,Tops,Sweaters
13563,13563,1080,32,Dress in catalog is not the same,"I saw this dress in the catalog and immediately ran to the store to purchase. then i realized the dress in the catalog is slightly different, but the small differences is what makes the catalog dress so much more unique and worth the money! look at the top, the stripe colors are different. and the stripes flow different on the skirt part as well. and the dress was short on me and i'm two inches shorter than the model. bummer.",1,0,5,General,Dresses,Dresses
8581,8581,260,49,Cute vest x2,"Fell in love at first site, cozy and wonderful design that creates a slim line even with full figure.",5,1,5,Initmates,Intimate,Lounge
15409,15409,1099,51,Channeling sophia loren!,"Was hopeful this might work on my petite pear shape (i am 5', probably 135-140lb; one to two sizes larger on the bottom) when i first saw online so went to store to give the regular size a trial run before ordering the petite size online. you can never tell with these flare dresses - some just make the hips look so much worse and haven't had a lot of luck with casual retailer flare dresses this season. first tried on the medium and fell in love instantly - was looking a little big but thought orde",5,1,7,General Petite,Dresses,Dresses
13646,13646,1078,44,Too much fabric,"As soon as i saw this dress i ordered it...i didn't want to miss out on it. i loved the look...the colors were so fun and bright...i thought it was going to be my perfect dress for an upcoming trip to hawaii. i am 5'4"" about 118#. i ordered a pxs. when it arrived i loved the feel of the fabric and the colors but was wondering what it would look like on as it was a lot of fabric. i know it is to be flowing but on me it was just awful. part is that the ties on the shoulder are sewn in place so i c",2,0,12,General,Dresses,Dresses
2553,2553,1104,35,Good for broader shoulders,"The design/pattern balances broader shoulders/narrower hips and gives my straighter waist definition.

at 5'1"", size 2 ended mid-knee, but overall felt a little too long (torso length). i normally take 0p or 00p in retailer dresses.

i like the feel of the fabric and the overall playful yet chic look.",4,1,1,General Petite,Dresses,Dresses
16269,16269,831,50,Love this top,"I'm 5'9 and 150 pounds and got a medium. the cut is very flattering on me and i have received many compliments when i wear it. it is lined, so no need to wear a cami underneath.",5,1,0,General Petite,Tops,Blouses
8741,8741,952,54,A mixed bag,"I loved the shape of this sweater. the way it draped from the waist was flattering and different. the sleeves were a strange length, however, between long and 3/4 length which made it look like they the sweater was just too short for me. the color looked peachy or pink in the photo, but in reality, it was almost skin tone, which was not flattering with my olive coloring. paler women might find it attractive. the real downside for me was the fabric which was thin with the flowers mainly printed o",3,0,0,General,Tops,Sweaters
10491,10491,833,50,Fun summer top,Love it!! it does run big so i had to return for smaller size. fabric is nice very true to picture,5,1,3,General Petite,Tops,Blouses
13088,13088,1037,42,**love**,So glad i was able to snag these killer 70's-ish flares. they are super cool at a nice length. love the button detail. i ordered these in my current size and they fit right out of the box. love them so much.,5,1,0,General Petite,Bottoms,Jeans
18518,18518,24,27,"Fun and gorgeous suit, but not for me","This was the first suit i've ever ordered online and the first one piece i've tried since i was a very young girl, so i was a little skeptical going into this. i'm 5'9"", ~145 lbs, 34b, with a pear shape and short torso. i was pleasantly surprised by the overall fit--the length was right, the bottoms fit really well (i was nervous about the boy short/hip hugger design), and the suit was just very comfortable and cute. however, something about the cups just didn't work with my chest; my breasts di",4,1,0,Initmates,Intimate,Swim
